Media Name,URL
2023 Awardees One North Carolina Small Business Program,https://www.commerce.nc.gov/media/6916/open
 Biscoe Assessment Report REV FINAL 2018 0323,https://www.commerce.nc.gov/media/2340/open
 Coats EconDev Assessment 2019 Report FINAL,https://www.commerce.nc.gov/media/2331/open
 Compliance | Semi-Annual Labor Standards Report Form (HUD Form 4710) for CDBG Grantees,https://www.commerce.nc.gov/media/8352/open
 Supplemental Release | June 2024 Statewide Employment Numbers,https://www.commerce.nc.gov/media/7407/open
 Supplemental Release | March 2025 County and Area Employment Numbers,https://www.commerce.nc.gov/media/7790/open
 Supplemental Release | March 2025 Statewide Employment Numbers,https://www.commerce.nc.gov/media/7769/open
01_26_16 All Communities_ prosp zones.pdf,https://www.commerce.nc.gov/media/1293/open
04 2019 Change 2 Revised PY19 DW Policy allocation 051520,https://www.commerce.nc.gov/media/3027/open
042825_CouncilMeetingI_Slides_final - Copy.pdf,https://www.commerce.nc.gov/media/7794/open
052225_CouncilMeetingI_Slides.pdf,https://www.commerce.nc.gov/media/7880/open
061225_CouncilMeetingI_Slides_v1.pdf,https://www.commerce.nc.gov/media/7898/open
1  Mid Carolina Local Area Designation Request Letter from WDB…,https://www.commerce.nc.gov/media/4563/open
1 NC Towers 050522 NC Ports General Presentation,https://www.commerce.nc.gov/media/4602/open
1. November 9 agenda ,https://www.commerce.nc.gov/media/1086/open
198-2024 NCMS Statistics,https://www.commerce.nc.gov/media/7612/open
1st QPR 2018,https://www.commerce.nc.gov/media/1727/open
1st QPR 2018,https://www.commerce.nc.gov/media/1762/open
1st QPR 2018 Pending HUD Approval,https://www.commerce.nc.gov/media/1722/open
1st QPR January 1  2018 thru March 31  2018 Pending HUD Approval,https://www.commerce.nc.gov/media/1695/open
2  Cumberland County WDB Minutes 2021 12 20 Meeting491 Action…,https://www.commerce.nc.gov/media/4564/open
2. National Guard Career Center Flyer ,https://www.commerce.nc.gov/media/1087/open
2003-2024 STMS Statistics,https://www.commerce.nc.gov/media/7614/open
