Media Name,URL
"IT Strategy Board Agenda (June 19, 2025)",https://www.it.nc.gov/media/4173/open
 ESRMO Newsletter (June 2025),https://www.it.nc.gov/media/4170/open
 IT Project Management Process Report,https://www.it.nc.gov/media/527/open
 SMAC LiDAR Apr 10 2024,https://www.it.nc.gov/media/3848/open
'Explore State Budget Report' Help Documentation,https://www.it.nc.gov/media/3120/open
'IT Contracts Report' Help Documentation,https://www.it.nc.gov/media/3118/open
'State Grants Report' Help Documentation,https://www.it.nc.gov/media/3119/open
'Statewide & Agency Contracts' Report Help Documentation,https://www.it.nc.gov/media/3121/open
'Transportation Contracts Report' Help Documentation,https://www.it.nc.gov/media/3122/open
'Vendor Payments Report' Help Documentation,https://www.it.nc.gov/media/3123/open
01 08 16 Agenda Book,https://www.it.nc.gov/media/523/open
01 29 16 Agenda Book,https://www.it.nc.gov/media/524/open
01 30 15 Agenda Book,https://www.it.nc.gov/media/510/open
01 30 15 Agenda Book 3,https://www.it.nc.gov/media/511/open
01062016FundingSummary,https://www.it.nc.gov/media/683/open
01082016 Minutes,https://www.it.nc.gov/media/555/open
01112018StandardsAgenda,https://www.it.nc.gov/media/1297/open
01132016EduAgenda,https://www.it.nc.gov/media/541/open
01132016EduSummary,https://www.it.nc.gov/media/542/open
01212021 EDU Committee Agenda Packet,https://www.it.nc.gov/media/1959/open
01232020 Funding Committee APPROVED Minutes,https://www.it.nc.gov/media/1821/open
01232020 Funding Meeting AGENDA,https://www.it.nc.gov/media/1711/open
01242014 secondary psap policy,https://www.it.nc.gov/media/927/open
01262018 Agenda,https://www.it.nc.gov/media/1258/open
01262018 Agenda Book 1,https://www.it.nc.gov/media/1212/open
01272017 Agenda,https://www.it.nc.gov/media/1136/open
01272017 Agenda,https://www.it.nc.gov/media/938/open
01272017 Meeting Agenda Book,https://www.it.nc.gov/media/1138/open
01272017 Meeting Agenda Book,https://www.it.nc.gov/media/937/open
01272017 Minutes ,https://www.it.nc.gov/media/1169/open
01272017 Minutes,https://www.it.nc.gov/media/1137/open
02 04 2014 Funding Agenda,https://www.it.nc.gov/media/426/open
02 10 15 Funding Meeting Agenda,https://www.it.nc.gov/media/401/open
02 19 2014 Funding Agenda,https://www.it.nc.gov/media/429/open
02 27 15 Agenda Book,https://www.it.nc.gov/media/512/open
02 27 15 Agenda Book,https://www.it.nc.gov/media/1185/open
02172016EduAgenda,https://www.it.nc.gov/media/543/open
02172016EduSummary,https://www.it.nc.gov/media/544/open
02182016NextGenAgenda,https://www.it.nc.gov/media/687/open
02202020 Funding Committee APPROVED Minutes,https://www.it.nc.gov/media/1822/open
02202020 Funding Meeting AGENDA,https://www.it.nc.gov/media/1726/open
02202020EDUagenda,https://www.it.nc.gov/media/1725/open
02232018 Agenda,https://www.it.nc.gov/media/1260/open
02232018 Agenda Book,https://www.it.nc.gov/media/1261/open
02232018 Funding Reconsideration Policy,https://www.it.nc.gov/media/1722/open
02242017 1 Agenda Book,https://www.it.nc.gov/media/1141/open
02242017 1 Agenda Book,https://www.it.nc.gov/media/953/open
02242017 Agenda,https://www.it.nc.gov/media/1139/open
02242017 Agenda,https://www.it.nc.gov/media/952/open
02262016 Agenda Book 1,https://www.it.nc.gov/media/548/open
02262016 Agenda Book 1,https://www.it.nc.gov/media/1184/open
03 12 2020 Agenda Technology Committee,https://www.it.nc.gov/media/1748/open
03 24 15 Funding Agenda,https://www.it.nc.gov/media/403/open
03 24 15 Funding Com Summary,https://www.it.nc.gov/media/404/open
03 27 15 Agenda Book,https://www.it.nc.gov/media/513/open
03 27 15 Agenda Book,https://www.it.nc.gov/media/1186/open
03102016NextGenAgenda,https://www.it.nc.gov/media/688/open
03122020 Technology Committee Minutes Approved,https://www.it.nc.gov/media/1811/open
03152016 Funding Meeting AGENDA ,https://www.it.nc.gov/media/678/open
03152016FundingSummary,https://www.it.nc.gov/media/684/open
03182016 Agenda,https://www.it.nc.gov/media/675/open
03182016 Agenda Book 2,https://www.it.nc.gov/media/549/open
03182016 Minutes,https://www.it.nc.gov/media/673/open
03192020 Funding Committee Agenda,https://www.it.nc.gov/media/1749/open
03192020 Funding Committee APPROVED Minutes,https://www.it.nc.gov/media/1823/open
03232018 Agenda,https://www.it.nc.gov/media/1262/open
03262020EDUagenda,https://www.it.nc.gov/media/1758/open
03312017 Agenda,https://www.it.nc.gov/media/1142/open
03312017 Agenda,https://www.it.nc.gov/media/965/open
03312017 Agenda Book,https://www.it.nc.gov/media/1144/open
03312017 Agenda Book,https://www.it.nc.gov/media/962/open
04 09 2020 Agenda Technology Committee,https://www.it.nc.gov/media/1776/open
04 17 14 Funding Agenda,https://www.it.nc.gov/media/431/open
04 21 2015 Fund Com Notes,https://www.it.nc.gov/media/413/open
04 24 15 Agenda Book,https://www.it.nc.gov/media/514/open
04 24 2015 Funding Agenda,https://www.it.nc.gov/media/412/open
04062016 Funding Meeting AGENDA,https://www.it.nc.gov/media/679/open
04062016FundingSummary,https://www.it.nc.gov/media/685/open
04092020 Technology Committee Minutes Approved,https://www.it.nc.gov/media/1812/open
04142016NextGenAgenda,https://www.it.nc.gov/media/689/open
04202016NextGenAgenda,https://www.it.nc.gov/media/690/open
04202018 Agenda Book,https://www.it.nc.gov/media/1265/open
04202018 Draft Agenda,https://www.it.nc.gov/media/1264/open
04222016 Agenda,https://www.it.nc.gov/media/676/open
04222016 Agenda Book 1,https://www.it.nc.gov/media/550/open
04222016 Minutes,https://www.it.nc.gov/media/674/open
04232020 Funding Committee APPROVED Minutes,https://www.it.nc.gov/media/1820/open
04232020 Funding Meeting AGENDA,https://www.it.nc.gov/media/1787/open
04282017  Agenda,https://www.it.nc.gov/media/980/open
04282017 Agenda,https://www.it.nc.gov/media/1145/open
04282017 Agenda Book,https://www.it.nc.gov/media/1147/open
04282017 Agenda Book,https://www.it.nc.gov/media/977/open
05 07 15 Funding Summary,https://www.it.nc.gov/media/418/open
05 07 2015 Funding Agenda,https://www.it.nc.gov/media/417/open
05 08 14 Funding Agenda,https://www.it.nc.gov/media/435/open
05 14 2020 Agenda Technology Committee Agenda Final,https://www.it.nc.gov/media/1801/open
05 28 15 Agenda Book,https://www.it.nc.gov/media/515/open
05032016 Funding Meeting AGENDA,https://www.it.nc.gov/media/680/open
05032016FundingSummary,https://www.it.nc.gov/media/686/open
05122016NextGenAgenda,https://www.it.nc.gov/media/691/open
05142020 Technology Committee Minutes Approved,https://www.it.nc.gov/media/1832/open
052016 911 Board Minutes,https://www.it.nc.gov/media/819/open
05202016 Agenda,https://www.it.nc.gov/media/665/open
05202016 Meeting Agenda Book 1,https://www.it.nc.gov/media/664/open
05212020 Funding Committee APPROVED Minutes,https://www.it.nc.gov/media/1891/open
05212020 Funding Meeting AGENDA,https://www.it.nc.gov/media/1808/open
05312017 Agenda,https://www.it.nc.gov/media/1149/open
05312017 Agenda,https://www.it.nc.gov/media/1000/open
